economy,Country,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
SLV,El Salvador,,,,,,,7.16113774212035,5.43684884780356,3.23669238728887,3.48541881377602,2.97729509281315,3.85825751349313,6.11753368716674,4.86167350408661,5.33600110676542,2.92353188852029,5.04926017375946,6.78006172824861,5.32276583472789,-4.18026543326904,-15.8368642948659,-5.72099045152937,-6.30847137584757,1.53902528398682,1.3352580295922,0.614316239316253,0.19467303778427,2.50816921310606,1.878176962178,0.964059196617328,4.83290057793786,1.49408756791307,7.02196331575217,5.81831555719015,4.6920617266787,4.73408140229732,0.811461899328009,3.13797006665828,2.65227730016461,2.16203373722973,1.12790697674419,0.879613659882722,1.57291844759789,1.56539303147618,0.889404485692197,2.68083009363194,4.3369986028604,1.84760220587859,2.15440298282768,-2.10876837627522,2.15419536693635,3.77358499834686,2.88770010188691,2.18295232499635,1.7293998423459,2.40000008852115,2.53906241135864,2.24761908134138,2.4124442237792,2.43747159065784,-7.893101359867,11.9047617015957,2.95461516549889,3.5391566928735,2.60202016121069
ECU,Ecuador,,5.12441487887448,4.91914694399127,2.10636824719379,7.40724535940373,3.27508248987445,-0.33952563927852,4.62107394346161,1.90943839737609,4.66923798208919,6.87192932488124,6.29260619739669,5.01764070581541,13.9506821300277,11.208509630308,10.9721540022298,7.39718761871015,1.6048421092884,5.70682494541619,3.73404840305636,3.70868296743329,5.61286412023385,0.614845351988635,-0.336868770002951,2.62527326806389,3.93500141252335,3.46478251574867,-0.259098708877119,5.89046729088525,1.00577794490313,3.67991405308877,4.29134246404705,2.11431064978969,1.97321813678619,4.25825042741626,2.25254865225104,1.73174762607862,4.32786475767577,3.26652934570988,-4.73938585363382,1.09180164720277,4.20627185748789,4.92809549611376,2.88450036512064,6.83239736646514,5.39862243994342,4.34113198577639,1.90242859700484,6.56492068224719,1.0910129698311,4.02913787986621,8.48147656332823,5.783212336172,7.21123653679159,4.22606520388456,0.119692109287612,-0.687954245877947,5.97039880954841,1.04429460679607,0.1654044646003,-9.24509619165865,9.42189269033631,5.86842354862311,1.98823813984235,-2.00125476341026
DOM,Dominican Republic,,-2.31324874995215,17.0472409332998,6.5029026339739,6.76486511640719,-12.4818339161578,13.4633448325871,3.32754228723313,0.238860484696033,10.8914458307792,18.2266828796502,10.8714660681825,10.3941640767605,12.8957637251018,6.00190290333001,5.19325335716054,6.72812264197154,4.98178395087527,2.14068467652768,4.53139921679188,7.96873850744203,4.27986747952673,1.69870863097844,4.62794634845423,1.25289597452468,-2.12253497623708,3.52199319901496,10.1173673617477,2.15596333107848,4.40053881491089,-5.45431239511254,0.944138889056532,11.2374641300752,7.36669526975602,2.59378305986246,5.69998859173715,5.96119319380874,8.89955230035797,6.70585570778992,5.95651024999543,4.65172550299128,2.46937023763239,4.48650367045651,-1.34935744782766,2.58556667449577,9.43178931977285,9.17120650955299,7.41840577774235,3.26808671288212,1.00345293018719,8.40114541209596,3.19196227475523,2.77567100848816,4.93473300709881,7.11122629673892,6.98771131236387,6.71974078681295,3.93386176401576,7.09751640210159,4.8940301149584,-7.92905234231061,14.0124289062207,5.23795652902595,2.19229848237939,4.95352204492849
CUB,Cuba,,,,,,,,,,,,8.58385901163629,4.82668584313927,3.43448853582437,0.984491815760862,9.47642606915934,5.4279604586732,8.7095028615293,6.59599856337493,1.08818330173155,-4.84944295088555,19.6883343337449,8.91823496493072,5.4114707238347,7.92971651513383,1.59667459807866,0.0953033856467584,-2.40217253779804,3.70553990905537,0.680083233154079,-2.94856494503389,-10.6926971084884,-11.5806030812698,-14.8781806947595,0.716930310416799,2.45720117243687,7.83874965899149,2.78342504174314,0.159146052326719,6.18875530352257,5.9147601740486,3.18502990449461,1.42482126141282,3.79274022304334,5.77053807021559,11.2016564219094,12.0658631129953,7.26213696647943,4.11682804164681,1.4513054307407,2.39035229650723,2.80230083647626,3.01490028898772,2.74760256257211,1.04757663187654,4.4383335888395,0.512843095700745,1.80979178380274,2.24794852913217,-0.163087223606624,-10.9494359030206,1.25448735650322,1.77465227724316,-1.92937123169681,-1.06173273220524
CRI,Costa Rica,,1.8792765563641,5.44239137528237,6.89892344200918,3.65904831414015,8.1905275942481,6.96931903096743,5.65012592038407,8.47330434699462,5.4917999425584,7.50313434335064,6.77850542642193,8.17804513351518,7.70891581191246,5.54489999097112,2.10007104948492,5.51756440295588,8.90447443155173,6.2676868244256,4.93912395498313,0.751895403326316,-2.26165550729665,-7.28556884666179,2.86299270239464,8.02410790730326,0.721601729268301,5.53625084315689,4.76453327969497,3.43214737968853,5.66597554871299,3.55306336572285,2.26565496296193,9.2011037327736,7.09719123999687,4.51902837637206,4.15395304333353,1.35045949139338,5.4761657765486,7.15530857859194,4.21481117123987,3.86871808953644,3.49116989434005,3.41687639041064,4.31717986636224,4.42459959654504,3.97666636818026,7.3266954325067,8.21513198348715,4.73817487754022,-0.873455942787785,5.36034352634111,4.40315923970431,4.88259241025739,2.49476611209954,3.54210987765977,3.65208096802883,4.20432325175899,4.1576989627609,2.6159044043379,2.41751181762513,-4.27335432161462,7.93576224743147,4.55149177958398,5.11192183224598,4.32122429646145
COL,Colombia,,5.08921698439107,5.41188961342047,3.28670755407101,6.16694132350723,3.60001138983772,5.23673586229452,4.13486416579858,5.93311799878289,6.10251730873333,6.20779696127698,5.9607279462907,7.66914754440097,6.72295496919133,5.74575718912141,2.32325528115796,4.7283687345395,4.15850545346419,8.4699008376688,5.37911898820207,4.08735367550767,2.27687274512178,0.948420786604515,1.57395603843689,3.35068373940706,3.1071061957296,5.82407613745866,5.36893214821323,4.06417324490376,3.41409610966596,4.28199833053058,2.00160759559029,4.04492943933556,5.38540993901029,5.81466190724336,5.20243759278655,2.05585471287195,3.43029367788374,0.569784088434517,-4.20401524244947,2.92486148176778,1.67789830787579,2.50398046659659,3.91827190322513,5.33302206759905,4.82876110773741,6.71686869844402,6.73819469090975,3.28344618616541,1.13964864548062,4.49465897070922,6.94789198173555,3.91263576716115,5.13399351995672,4.49903000110972,2.95590137527523,2.08738250162794,1.35936086788746,2.56432428277704,3.18685539245533,-7.18591413760859,10.8011981904878,7.32827729427979,0.712380031974334,1.5983315366523
CHL,Chile,,5.51961070344885,3.93078479110629,5.68667190016438,2.46113427734542,0.670838636062939,11.4634218589357,3.58811073177469,3.57371701447551,4.10317976748962,1.69447257971353,9.57107393842624,-0.712365918422577,-5.03775611682208,1.2495800122858,-12.2737621533613,3.60469484521828,11.1491944807539,8.02682491365691,8.43582175738598,8.17228334347537,6.71863895635887,-11.5020620535762,-4.9352297090374,3.98371018713553,3.55239860775048,5.40556438635799,6.73884253090458,7.35081069623416,10.3583568690228,3.59872304691744,7.75620189312957,11.5019314370192,6.6855844008042,5.07680374667352,9.25542757753573,7.1148626270751,7.3917392684331,4.18088662700669,-0.2736313981937,4.9716214882971,3.15403492459967,3.20279913520113,4.72324526861041,6.67425416822923,5.83704571917758,6.04999082563968,5.16823098528431,3.78939280635238,-1.11803723642878,5.85165102224047,6.22389678509138,6.15534001855494,3.30850824710085,1.79264947139259,2.15194249981184,1.753038749071,1.35769537343957,3.99002947789977,0.634367533828438,-6.14347479224092,11.3149204879049,2.15399356192458,0.521367977246825,2.64431154871538
BRA,Brazil,,8.60000000000014,6.59999999999992,0.600000000000065,3.39999999999985,2.40000000000001,6.7000000000001,4.2,9.79999999999998,9.49999999999993,10.4,11.3429219931908,11.9403481162508,13.9687217796782,8.15393868457201,5.16664908406321,10.2571295347867,4.93432806978961,4.96989768924738,6.7595601220408,9.19999999999976,-4.24999999999956,0.829999999999529,-2.92999999999996,5.39999999999988,7.85000000000042,7.48999999999982,3.52999999999983,-0.059999999999917,3.16000000000032,-4.35000000000022,1.0321895854696,-0.544072051030298,4.92469000463774,5.8528703643893,4.2237936336472,2.20886405051482,3.39484598531597,0.338097901952338,0.467937566679467,4.38794944364869,1.3898964044581,3.05346185683619,1.14082899877101,5.75996463685998,3.20213206216255,3.96198870899485,6.06987060733128,5.09419544811998,-0.12581200299141,7.52822581812151,3.97442307944702,1.92117598509462,3.0048226702888,0.503955740273241,-3.54576339347278,-3.2759169063211,1.32286905390815,1.78366676137003,1.22077782271943,-3.27675879612903,4.7626043797061,3.01669435408112,3.24165532813583,3.41931516597739
BOL,Bolivia,,2.08929594236771,5.57891786210311,6.79762576905422,3.95659653084577,4.91344195525969,7.17058966306622,6.31721951733543,8.52944308831106,4.47409732886858,5.23102930423347,5.06333643861974,7.967485209709,5.73916152572539,2.93956780827851,7.31101773140004,4.6145674859863,4.97121565700287,2.05269456633248,0.133344047803448,-1.37177291052787,0.275616372775957,-3.93873792499589,-4.04212140271022,-0.200665696939325,-1.67638978272157,-2.57388420056624,2.46348461969905,2.90949796034215,3.79013096203738,4.63578742813344,5.26652666784713,1.64649818317035,4.26929611661518,4.6672651026673,4.67827659710034,4.36134195244541,4.95420874299724,5.02935475543048,0.426885422588768,2.50781080899505,1.68379912721821,2.48556573783827,2.7113398370071,4.17329558916195,4.42143312687995,4.79700882356046,4.56438426887904,6.14849787462195,3.35699957430558,4.12672259105658,5.20409244308591,5.12227558091767,6.79601142810857,5.46056950635116,4.8571871797142,4.26392086382097,4.19520633360403,2.86808404814794,1.50672102666863,-12.7194690092717,10.0290488827886,3.74741781241461,2.51636590154891,-1.12335595517212
ARG,Argentina,,5.42784287621933,-0.852021521903339,-5.30819682539126,10.1302976615431,10.5694333376394,-0.659726170629824,3.19199662339177,4.82250077932424,9.67952601078326,3.04564331917115,5.65813108184925,1.62841651825939,2.81175403849035,5.5338043957736,-0.0284121037110907,-2.01825151683394,6.93414775653342,-4.50612480201359,10.2227634638681,1.51878394990179,-5.18978914135593,-0.735659159103619,4.34909327926756,1.57073870182023,-5.18902435343904,6.15337706275693,2.70486882770558,-1.08993334133791,-7.15694965597953,-2.46721377810472,9.13311056738961,7.93729155643076,8.20697907221228,5.83620070368526,-2.84520961057079,5.52668982715234,8.1110467707457,3.85017885156228,-3.38545704063269,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.83704079576924,9.02957330068152,8.85165992013437,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579,-1.0264204544321,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.4418119882506,6.02074537534855,-1.85578803046339,-1.34293072157739
